x,f(x),H(x)
43.9099,1.64256,nan
44.009,1.64354,nan
44.1081,1.64452,nan
44.2072,1.64549,nan
44.3063,1.64647,nan
44.4054,1.64744,nan
44.5045,1.6484,nan
44.6036,1.64937,nan
44.7027,1.65033,nan
44.8018,1.6513,nan
44.9009,1.65226,nan
45,1.65321,nan
45.0991,1.65417,nan
45.1982,1.65512,nan
45.2973,1.65607,nan
45.3964,1.65702,nan
45.4955,1.65797,nan
45.5946,1.65891,nan
45.6937,1.65986,nan
45.7928,1.6608,nan
45.8919,1.66174,nan
45.991,1.66267,nan
46.0901,1.66361,nan
46.1892,1.66454,nan
46.2883,1.66547,nan
46.3874,1.6664,nan
46.4865,1.66733,nan
46.5856,1.66825,nan
46.6847,1.66917,nan
46.7838,1.6701,nan
46.8829,1.67101,nan
46.982,1.67193,nan
47.0811,1.67285,nan
47.1802,1.67376,nan
47.2793,1.67467,nan
47.3784,1.67558,nan
47.4775,1.67649,nan
47.5766,1.67739,nan
47.6757,1.6783,nan
47.7748,1.6792,nan
47.8739,1.6801,nan
47.973,1.681,nan
48.0721,1.68189,nan
48.1712,1.68279,nan
48.2703,1.68368,nan
48.3694,1.68457,nan
48.4685,1.68546,nan
48.5676,1.68635,nan
48.6667,1.68723,nan
48.7658,1.68812,nan
48.8649,1.689,nan
48.964,1.68988,nan
49.0631,1.69075,nan
49.1622,1.69163,nan
49.2613,1.69251,nan
49.3604,1.69338,nan
49.4595,1.69425,nan
49.5586,1.69512,nan
49.6577,1.69599,nan
49.7568,1.69685,nan
49.8559,1.69772,nan
49.955,1.69858,nan
50.0541,1.69944,nan
50.1532,1.7003,nan
50.2523,1.70116,nan
50.3514,1.70201,nan
50.4505,1.70287,nan
50.5495,1.70372,nan
50.6486,1.70457,nan
50.7477,1.70542,nan
50.8468,1.70626,nan
50.9459,1.70711,nan
51.045,1.70795,nan
51.1441,1.7088,nan
51.2432,1.70964,nan
51.3423,1.71048,nan
51.4414,1.71131,nan
51.5405,1.71215,nan
51.6396,1.71298,nan
51.7387,1.71382,nan
51.8378,1.71465,nan
51.9369,1.71548,nan
52.036,1.7163,nan
52.1351,1.71713,nan
52.2342,1.71796,nan
52.3333,1.71878,nan
52.4324,1.7196,nan
52.5315,1.72042,nan
52.6306,1.72124,nan
52.7297,1.72206,nan
52.8288,1.72287,nan
52.9279,1.72368,nan
53.027,1.7245,nan
53.1261,1.72531,nan
53.2252,1.72612,nan
53.3243,1.72693,nan
53.4234,1.72773,nan
53.5225,1.72854,nan
53.6216,1.72934,nan
53.7207,1.73014,nan
53.8198,1.73094,nan
53.9189,1.73174,nan
54.018,1.73254,nan
54.1171,1.73333,nan
54.2162,1.73413,nan
54.3153,1.73492,nan
54.4144,1.73571,nan
54.5135,1.7365,nan
54.6126,1.73729,nan
54.7117,1.73808,nan
54.8108,1.73887,nan
54.9099,1.73965,nan
55.009,1.74043,nan
55.1081,1.74122,nan
55.2072,1.742,nan
55.3063,1.74277,nan
55.4054,1.74355,nan
55.5045,1.74433,nan
55.6036,1.7451,nan
55.7027,1.74588,nan
55.8018,1.74665,nan
55.9009,1.74742,nan
56,1.74819,nan
56.0991,1.74896,nan
56.1982,1.74972,nan
56.2973,1.75049,nan
56.3964,1.75125,nan
56.4955,1.75201,nan
56.5946,1.75277,nan
56.6937,1.75353,nan
56.7928,1.75429,nan
56.8919,1.75505,nan
56.991,1.75581,nan
57.0901,1.75656,nan
57.1892,1.75731,nan
57.2883,1.75807,nan
57.3874,1.75882,nan
57.4865,1.75957,nan
57.5856,1.76031,nan
57.6847,1.76106,nan
57.7838,1.76181,nan
57.8829,1.76255,nan
57.982,1.76329,nan
58.0811,1.76403,nan
58.1802,1.76478,nan
58.2793,1.76551,nan
58.3784,1.76625,nan
58.4775,1.76699,nan
58.5766,1.76772,nan
58.6757,1.76846,nan
58.7748,1.76919,nan
58.8739,1.76992,nan
58.973,1.77065,nan
59.0721,1.77138,nan
59.1712,1.77211,nan
59.2703,1.77284,nan
59.3694,1.77356,nan
59.4685,1.77429,nan
59.5676,1.77501,nan
59.6667,1.77573,nan
59.7658,1.77645,nan
59.8649,1.77717,nan
59.964,1.77789,nan
60.0631,1.77861,nan
60.1622,1.77932,nan
60.2613,1.78004,nan
60.3604,1.78075,nan
60.4595,1.78146,nan
60.5586,1.78218,nan
60.6577,1.78289,nan
60.7568,1.78359,nan
60.8559,1.7843,nan
60.955,1.78501,nan
61.0541,1.78571,nan
61.1532,1.78642,nan
61.2523,1.78712,nan
61.3514,1.78782,nan
61.4505,1.78853,nan
61.5495,1.78922,nan
61.6486,1.78992,nan
61.7477,1.79062,nan
61.8468,1.79132,nan
61.9459,1.79201,nan
62.045,1.79271,nan
62.1441,1.7934,nan
62.2432,1.79409,nan
62.3423,1.79478,nan
62.4414,1.79547,nan
62.5405,1.79616,nan
62.6396,1.79685,nan
62.7387,1.79754,nan
62.8378,1.79822,nan
62.9369,1.79891,nan
63.036,1.79959,nan
63.1351,1.80027,nan
63.2342,1.80095,nan
63.3333,1.80163,nan
63.4324,1.80231,nan
63.5315,1.80299,nan
63.6306,1.80367,nan
63.7297,1.80434,nan
63.8288,1.80502,nan
63.9279,1.80569,nan
64.027,1.80636,nan
64.1261,1.80704,nan
64.2252,1.80771,nan
64.3243,1.80838,nan
64.4234,1.80904,nan
64.5225,1.80971,nan
64.6216,1.81038,nan
64.7207,1.81104,nan
64.8198,1.81171,nan
64.9189,1.81237,nan
65.018,1.81303,nan
65.1171,1.8137,nan
65.2162,1.81436,nan
65.3153,1.81502,nan
65.4144,1.81567,nan
65.5135,1.81633,nan
65.6126,1.81699,nan
65.7117,1.81764,nan
65.8108,1.8183,nan
65.9099,1.81895,nan
66.009,1.8196,nan
66.1081,1.82025,nan
66.2072,1.82091,nan
66.3063,1.82155,nan
66.4054,1.8222,nan
66.5045,1.82285,nan
66.6036,1.8235,nan
66.7027,1.82414,nan
66.8018,1.82479,nan
66.9009,1.82543,nan
67,1.82607,nan
67.0991,1.82672,nan
67.1982,1.82736,nan
67.2973,1.828,nan
67.3964,1.82864,nan
67.4955,1.82927,nan
67.5946,1.82991,nan
67.6937,1.83055,nan
67.7928,1.83118,nan
67.8919,1.83182,nan
67.991,1.83245,nan
68.0901,1.83308,nan
68.1892,1.83372,nan
68.2883,1.83435,nan
68.3874,1.83498,nan
68.4865,1.8356,nan
68.5856,1.83623,nan
68.6847,1.83686,nan
68.7838,1.83749,nan
68.8829,1.83811,nan
68.982,1.83874,nan
69.0811,1.83936,nan
69.1802,1.83998,nan
69.2793,1.8406,nan
69.3784,1.84122,nan
69.4775,1.84184,nan
69.5766,1.84246,nan
69.6757,1.84308,nan
69.7748,1.8437,nan
69.8739,1.84431,nan
69.973,1.84493,nan
70.0721,1.84554,nan
70.1712,1.84616,nan
70.2703,1.84677,nan
70.3694,1.84738,nan
70.4685,1.84799,nan
70.5676,1.84861,nan
70.6667,1.84921,nan
70.7658,1.84982,nan
70.8649,1.85043,nan
70.964,1.85104,nan
71.0631,1.85164,nan
71.1622,1.85225,nan
71.2613,1.85285,nan
71.3604,1.85346,nan
71.4595,1.85406,nan
71.5586,1.85466,nan
71.6577,1.85526,nan
71.7568,1.85586,nan
71.8559,1.85646,nan
71.955,1.85706,nan
72.0541,1.85766,nan
72.1532,1.85826,nan
72.2523,1.85885,nan
72.3514,1.85945,nan
72.4505,1.86004,nan
72.5495,1.86063,nan
72.6486,1.86123,nan
72.7477,1.86182,nan
72.8468,1.86241,nan
72.9459,1.863,nan
73.045,1.86359,nan
73.1441,1.86418,nan
73.2432,1.86477,nan
73.3423,1.86535,nan
73.4414,1.86594,nan
73.5405,1.86653,nan
73.6396,1.86711,nan
73.7387,1.8677,nan
73.8378,1.86828,nan
73.9369,1.86886,nan
74.036,1.86944,nan
74.1351,1.87002,nan
74.2342,1.8706,nan
74.3333,1.87118,nan
74.4324,1.87176,nan
74.5315,1.87234,nan
74.6306,1.87292,nan
74.7297,1.87349,nan
74.8288,1.87407,nan
74.9279,1.87464,nan
75.027,1.87522,nan
75.1261,1.87579,nan
75.2252,1.87636,nan
75.3243,1.87694,nan
75.4234,1.87751,nan
75.5225,1.87808,nan
75.6216,1.87865,nan
75.7207,1.87921,nan
75.8198,1.87978,nan
75.9189,1.88035,nan
76.018,1.88092,nan
76.1171,1.88148,nan
76.2162,1.88205,nan
76.3153,1.88261,nan
76.4144,1.88318,nan
76.5135,1.88374,nan
76.6126,1.8843,nan
76.7117,1.88486,nan
76.8108,1.88542,nan
76.9099,1.88598,nan
77.009,1.88654,nan
77.1081,1.8871,nan
77.2072,1.88766,nan
77.3063,1.88821,nan
77.4054,1.88877,nan
77.5045,1.88933,nan
77.6036,1.88988,nan
77.7027,1.89044,nan
77.8018,1.89099,nan
77.9009,1.89154,nan
78,1.89209,nan
78.0991,1.89265,nan
78.1982,1.8932,nan
78.2973,1.89375,nan
78.3964,1.8943,nan
78.4955,1.89484,nan
78.5946,1.89539,nan
78.6937,1.89594,nan
78.7928,1.89649,nan
78.8919,1.89703,nan
78.991,1.89758,nan
79.0901,1.89812,nan
79.1892,1.89867,nan
79.2883,1.89921,nan
79.3874,1.89975,nan
79.4865,1.90029,nan
79.5856,1.90083,nan
79.6847,1.90137,nan
79.7838,1.90191,nan
79.8829,1.90245,nan
79.982,1.90299,nan
80.0811,1.90353,nan
80.1802,1.90407,nan
80.2793,1.9046,nan
80.3784,1.90514,nan
80.4775,1.90567,nan
80.5766,1.90621,nan
80.6757,1.90674,nan
80.7748,1.90728,nan
80.8739,1.90781,nan
80.973,1.90834,nan
81.0721,1.90887,nan
81.1712,1.9094,nan
81.2703,1.90993,nan
81.3694,1.91046,nan
81.4685,1.91099,nan
81.5676,1.91152,nan
81.6667,1.91204,nan
81.7658,1.91257,nan
81.8649,1.9131,nan
81.964,1.91362,nan
82.0631,1.91415,nan
82.1622,1.91467,nan
82.2613,1.9152,nan
82.3604,1.91572,nan
82.4595,1.91624,nan
82.5586,1.91676,nan
82.6577,1.91728,nan
82.7568,1.9178,nan
82.8559,1.91832,nan
82.955,1.91884,nan
83.0541,1.91936,nan
83.1532,1.91988,nan
83.2523,1.9204,nan
83.3514,1.92091,nan
83.4505,1.92143,nan
83.5495,1.92194,nan
83.6486,1.92246,nan
83.7477,1.92297,nan
83.8468,1.92349,nan
83.9459,1.924,nan
84.045,1.92451,nan
84.1441,1.92502,nan
84.2432,1.92554,nan
84.3423,1.92605,nan
84.4414,1.92656,nan
84.5405,1.92707,nan
84.6396,1.92757,nan
84.7387,1.92808,nan
84.8378,1.92859,nan
84.9369,1.9291,nan
85.036,1.9296,nan
85.1351,1.93011,nan
85.2342,1.93061,nan
85.3333,1.93112,nan
85.4324,1.93162,nan
85.5315,1.93213,nan
85.6306,1.93263,nan
85.7297,1.93313,nan
85.8288,1.93363,nan
85.9279,1.93413,nan
86.027,1.93463,nan
86.1261,1.93513,nan
86.2252,1.93563,nan
86.3243,1.93613,nan
86.4234,1.93663,nan
86.5225,1.93713,nan
86.6216,1.93763,nan
86.7207,1.93812,nan
86.8198,1.93862,nan
86.9189,1.93911,nan
87.018,1.93961,nan
87.1171,1.9401,nan
87.2162,1.9406,nan
87.3153,1.94109,nan
87.4144,1.94158,nan
87.5135,1.94208,nan
87.6126,1.94257,nan
87.7117,1.94306,nan
87.8108,1.94355,nan
87.9099,1.94404,nan
88.009,1.94453,nan
88.1081,1.94502,nan
88.2072,1.9455,nan
88.3063,1.94599,nan
88.4054,1.94648,nan
88.5045,1.94697,nan
88.6036,1.94745,nan
88.7027,1.94794,nan
88.8018,1.94842,nan
88.9009,1.94891,nan
89,1.94939,nan
89.0991,1.94987,nan
89.1982,1.95036,nan
89.2973,1.95084,nan
89.3964,1.95132,nan
89.4955,1.9518,nan
89.5946,1.95228,nan
89.6937,1.95276,nan
89.7928,1.95324,nan
89.8919,1.95372,nan
89.991,1.9542,nan
90.0901,1.95468,nan
90.1892,1.95515,nan
90.2883,1.95563,nan
90.3874,1.95611,nan
90.4865,1.95658,nan
90.5856,1.95706,nan
90.6847,1.95753,nan
90.7838,1.95801,nan
90.8829,1.95848,nan
90.982,1.95896,nan
91.0811,1.95943,nan
91.1802,1.9599,nan
91.2793,1.96037,nan
91.3784,1.96084,nan
91.4775,1.96131,nan
91.5766,1.96178,nan
91.6757,1.96225,nan
91.7748,1.96272,nan
91.8739,1.96319,nan
91.973,1.96366,nan
92.0721,1.96413,nan
92.1712,1.9646,nan
92.2703,1.96506,nan
92.3694,1.96553,nan
92.4685,1.96599,nan
92.5676,1.96646,nan
92.6667,1.96692,nan
92.7658,1.96739,nan
92.8649,1.96785,nan
92.964,1.96831,nan
93.0631,1.96878,nan
93.1622,1.96924,nan
93.2613,1.9697,nan
93.3604,1.97016,nan
93.4595,1.97062,nan
93.5586,1.97108,nan
93.6577,1.97154,nan
93.7568,1.972,nan
93.8559,1.97246,nan
93.955,1.97292,nan
94.0541,1.97338,nan
94.1532,1.97383,nan
94.2523,1.97429,nan
94.3514,1.97475,nan
94.4505,1.9752,nan
94.5495,1.97566,nan
94.6486,1.97611,nan
94.7477,1.97657,nan
94.8468,1.97702,nan
94.9459,1.97748,nan
95.045,1.97793,nan
95.1441,1.97838,nan
95.2432,1.97883,nan
95.3423,1.97929,nan
95.4414,1.97974,nan
95.5405,1.98019,nan
95.6396,1.98064,nan
95.7387,1.98109,nan
95.8378,1.98154,nan
95.9369,1.98199,nan
96.036,1.98243,nan
96.1351,1.98288,nan
96.2342,1.98333,nan
96.3333,1.98378,nan
96.4324,1.98422,nan
96.5315,1.98467,nan
96.6306,1.98511,nan
96.7297,1.98556,nan
96.8288,1.986,nan
96.9279,1.98645,nan
97.027,1.98689,nan
97.1261,1.98734,nan
97.2252,1.98778,nan
97.3243,1.98822,nan
97.4234,1.98866,nan
97.5225,1.9891,nan
97.6216,1.98955,nan
97.7207,1.98999,nan
97.8198,1.99043,nan
97.9189,1.99087,nan
98.018,1.99131,nan
98.1171,1.99174,nan
98.2162,1.99218,nan
98.3153,1.99262,nan
98.4144,1.99306,nan
98.5135,1.9935,nan
98.6126,1.99393,nan
98.7117,1.99437,nan
98.8108,1.9948,nan
98.9099,1.99524,nan
99.009,1.99567,nan
99.1081,1.99611,nan
99.2072,1.99654,nan
99.3063,1.99698,nan
99.4054,1.99741,nan
99.5045,1.99784,nan
99.6036,1.99828,nan
99.7027,1.99871,nan
99.8018,1.99914,nan
99.9009,1.99957,nan
100,2,nan
